Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/18 2:36:10 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:36:27 PM MDT,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:36:28 PM MDT,Very interested,Somewhat interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:36:30 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:36:32 PM MDT,Very interested,Not interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:36:35 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Not interested
2017/10/18 2:36:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:36:38 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:36:44 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:36:46 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:36:52 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:37:04 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:37:07 PM MDT,,Very interested,Very interested,Very interested,,
2017/10/18 2:37:13 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:37:14 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:37:32 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:37:35 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:37:38 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 2:37:45 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:37:51 PM MDT,Very interested,Not interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:37:58 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:38:04 PM MDT,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:38:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:38:31 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:38:40 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:38:49 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/18 2:38:50 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:38:51 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:39:01 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:39:03 PM MDT,Somewhat interested,Not interested,Not interested,Somewhat interested,Not interested,Not interested
2017/10/18 2:39:06 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:39:20 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:39:26 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:39:26 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:39:48 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 2:39:52 PM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:40:26 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:40:35 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:40:43 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:40:58 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:41:00 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:41:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:41:13 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:41:23 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:41:24 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:41:30 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:41:32 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:41:33 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:41:36 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:41:37 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:41:37 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:41:44 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:41:54 PM MDT,Very interested,,,Very interested,Very interested,
2017/10/18 2:42:03 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:42:07 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:42:10 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:42:17 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:42:18 PM MDT,Very interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:42:23 PM MDT,Very interested,Very interested,Very interested,,Somewhat interested,Very interested
2017/10/18 2:42:26 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 2:42:32 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:42:48 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:42:52 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:42:53 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:42:55 PM MDT,Very interested,Very interested,Very interested,Very interested,,Very interested
2017/10/18 2:43:08 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:43:31 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:43:39 PM MDT,Very interested,Somewhat interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:43:39 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested
2017/10/18 2:43:46 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:44:06 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:44:36 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:44:36 PM MDT,Very interested,Somewhat interested,Very interested,Not interested,Very interested,Somewhat interested
2017/10/18 2:44:52 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:45:27 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:45:36 PM MDT,,Very interested,Very interested,Very interested,,
2017/10/18 2:46:05 PM MDT,Very interested,,Very interested,Very interested,,
2017/10/18 2:46:08 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:46:11 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:46:19 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:46:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:46:27 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:46:33 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:47:09 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:47:21 PM MDT,Not interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:47:25 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:47:31 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:47:55 PM MDT,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested,Very interested
2017/10/18 2:48:03 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:48:07 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:48:14 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:48:20 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 2:48:31 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:48:39 PM MDT,Somewhat interested,Very interested,Not interested,Not interested,Not interested,Very interested
2017/10/18 2:48:46 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:48:49 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:48:56 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:49:14 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:49:15 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
